instrumento,mercado,periodo,tipo_calificacion,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,monto,es_oficial
BTU-2024,Bolsa de Santiago,2022-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5469087,true
SANTANDER AM RENTA FIJA,Bolsa Electrónica,2023-Q3,Ganancia Capital,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,2549317,false
COLBUN,Bolsa de Santiago,2022-Q3,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,4576571,true
SONDA,Bolsa de Santiago,2022-Q1,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,3201367,true
BCU-2025,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7669319,true
PARAUCO,Bolsa de Santiago,2022-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3740418,true
SECURITY,Bolsa de Santiago,2022-Q3,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,4452108,true
BONO COLBUN 2028,Bolsa de Santiago,2022-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4486774,true
BONO ENTEL 2027,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1022569,true
BONO ENDESA 2029,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4435996,true
BCP-2027,Bolsa de Santiago,2021-Q2,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,4223459,true
MALLPLAZA,Bolsa de Santiago,2021-Q4,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2812874,true
ENEL CHILE,Bolsa de Santiago,2022-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3674880,true
BANCHILE ACCIONES,Bolsa Electrónica,2021-Q2,Mixto,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,9259847,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2022-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5329298,false
COLBUN,Bolsa de Santiago,2024-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3258065,true
SONDA,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4892941,true
BTU-2024,Bolsa de Santiago,2021-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,5988820,true
BONO SQM 2028,Bolsa de Santiago,2021-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,5344303,true
BCP-2026,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6271515,true
BCP-2032,Bolsa de Santiago,2021-Q3,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.08,0.08,0.08,0.08,7366736,true
BCP-2028,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3073758,true
BCU-2028,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5602418,true
BCU-2025,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9268105,true
SM-CHILE B,Bolsa de Santiago,2024-Q1,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,2205192,true
BONO ENEX 2027,Bolsa de Santiago,2022-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1252086,true
BTU-2024,Bolsa de Santiago,2023-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9766419,true
BCP-2029,Bolsa de Santiago,2022-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2127923,true
SECURITY,Bolsa de Santiago,2021-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2675553,true
SANTANDER AM RENTA FIJA,Bolsa Electrónica,2021-Q1,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,11486072,false
BCU-2028,Bolsa de Santiago,2023-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,2584284,true
SECURITY AM BONOS,Bolsa Electrónica,2024-Q2,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,5513384,true
ANDINA-B,Bolsa de Santiago,2022-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3394168,true
COPEC,Bolsa de Santiago,2024-Q3,Dividendos,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,3163326,true
COPEC,Bolsa de Santiago,2024-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3605686,true
SECURITY AM BONOS,Bolsa Electrónica,2023-Q3,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3088748,true
BONO ENTEL 2027,Bolsa de Santiago,2021-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6712550,true
COPEC,Bolsa de Santiago,2023-Q2,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,4690095,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2024-Q1,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,10698378,true
ENJOY,Bolsa de Santiago,2024-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4030033,true
SECURITY AM BONOS,Bolsa Electrónica,2023-Q4,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3229524,true
BCP-2030,Bolsa de Santiago,2023-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,9505403,true
BONO COPEC 2029,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,6923938,true
SANTANDER AM ACCIONES,Bolsa Electrónica,2022-Q3,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4962115,true
SECURITY AM ACCIONES,Bolsa Electrónica,2023-Q4,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,8052079,true
BCU-2028,Bolsa de Santiago,2023-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7267996,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q1,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.078,0.078,0.078,6835739,true
BONO COPEC 2029,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2751261,true
SECURITY AM BONOS,Bolsa Electrónica,2023-Q1,Ganancia Capital,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,4855183,false
SECURITY AM ACCIONES,Bolsa Electrónica,2023-Q4,Ganancia Capital,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,11799111,false
BONO CENCOSUD 2030,Bolsa de Santiago,2024-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7622038,true
BONO ESVAL 2027,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7278210,true
BONO ENDESA 2029,Bolsa de Santiago,2021-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7474695,true
ENTEL,Bolsa de Santiago,2024-Q3,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,4332503,true
BCU-2025,Bolsa de Santiago,2023-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4433460,true
BANCHILE ACCIONES,Bolsa Electrónica,2024-Q1,Ganancia Capital,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.075,0.075,9062122,true
BONO BCI 2029,Bolsa de Santiago,2022-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5481278,true
BONO CMPC 2026,Bolsa de Santiago,2023-Q3,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.078,0.078,0.078,7222652,true
BCU-2030,Bolsa de Santiago,2021-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,8889231,true
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2024-Q4,Ganancia Capital,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,10702417,false
RIPLEY,Bolsa de Santiago,2022-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1899836,true
ENTEL,Bolsa de Santiago,2023-Q4,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4618793,true
FONDO MUTUO AFP CAPITAL,Bolsa Electrónica,2021-Q4,Mixto,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.033,0.033,0.033,5819069,true
CMPC,Bolsa de Santiago,2023-Q4,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3146115,true
BCP-2028,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7496428,true
PRINCIPAL BONOS,Bolsa Electrónica,2024-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2801411,true
VAPORES,Bolsa de Santiago,2024-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1930755,true
SQM-B,Bolsa de Santiago,2022-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1559986,true
BANCO BCI,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,1057611,true
BONO CMPC 2026,Bolsa de Santiago,2021-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3575114,true
CAP,Bolsa de Santiago,2022-Q2,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,1468693,true
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2022-Q4,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,9868951,false
BONO FALABELLA 2028,Bolsa de Santiago,2023-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6423860,true
LARRAIN VIAL ESTRATEGIA,Bolsa Electrónica,2023-Q3,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,10916971,false
BCU-2029,Bolsa de Santiago,2021-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4555189,true
SALFACORP,Bolsa de Santiago,2021-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2883108,true
CENCOSUD,Bolsa de Santiago,2023-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3165563,true
BONO FALABELLA 2028,Bolsa de Santiago,2022-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2502343,true
BCU-2030,Bolsa de Santiago,2022-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7439443,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3290706,true
BCU-2025,Bolsa de Santiago,2022-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4617837,true
BCU-2029,Bolsa de Santiago,2024-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7243869,true
BCU-2027,Bolsa de Santiago,2024-Q3,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2185819,true
BCU-2029,Bolsa de Santiago,2023-Q2,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,4726659,true
SANTANDER AM RENTA FIJA,Bolsa Electrónica,2023-Q1,Ganancia Capital,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,8067918,true
BONO SANTANDER 2027,Bolsa de Santiago,2024-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3995976,true
BONO COLBUN 2028,Bolsa de Santiago,2024-Q1,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,1857019,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q1,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,1086193,true
BONO ESVAL 2027,Bolsa de Santiago,2022-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,6532448,true
BCU-2026,Bolsa de Santiago,2021-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5321654,true
BCU-2029,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4432421,true
BANCO BCI,Bolsa de Santiago,2021-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4574044,true
BCI AM DEUDA,Bolsa Electrónica,2021-Q4,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,7176906,true
SECURITY AM ACCIONES,Bolsa Electrónica,2024-Q4,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3956696,true
SM-CHILE B,Bolsa de Santiago,2021-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,987560,true
BONO SQM 2028,Bolsa de Santiago,2023-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,4555056,true
BONO ENEX 2027,Bolsa de Santiago,2022-Q1,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3569342,true
FONDO MUTUO AFP PLANVITAL,Bolsa Electrónica,2021-Q2,Dividendos,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,9225509,true
FONDO MUTUO AFP PROVIDA,Bolsa Electrónica,2023-Q4,Mixto,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,5019108,true
BCP-2032,Bolsa de Santiago,2021-Q4,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,2667149,true
BONO CENCOSUD 2030,Bolsa de Santiago,2023-Q4,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6302609,true
FONDO MUTUO AFP CAPITAL,Bolsa Electrónica,2023-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2088772,true
BCU-2030,Bolsa de Santiago,2023-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2752175,true
BCU-2024,Bolsa de Santiago,2023-Q1,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6513480,true
BCU-2030,Bolsa de Santiago,2021-Q4,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,8573872,true
BONO AGUAS ANDINAS 2026,Bolsa de Santiago,2024-Q1,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.063,0.063,0.063,5839320,true
BCP-2030,Bolsa de Santiago,2022-Q3,Intereses,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.078,0.078,0.078,8819326,true
BONO ENDESA 2029,Bolsa de Santiago,2024-Q3,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.07,0.07,0.07,0.07,4951582,true
FONDO MUTUO AFP CUPRUM,Bolsa Electrónica,2023-Q1,Mixto,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,4076038,true
BONO COLBUN 2028,Bolsa de Santiago,2021-Q1,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.048,0.048,0.048,7713720,true
VAPORES,Bolsa de Santiago,2024-Q1,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2033971,true
BCU-2026,Bolsa de Santiago,2021-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,7515039,true
BCU-2024,Bolsa de Santiago,2024-Q4,Intereses,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.025,0.025,7696912,true
BONO AGUAS ANDINAS 2026,Bolsa de Santiago,2021-Q4,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,3340502,true
MALLPLAZA,Bolsa de Santiago,2023-Q1,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,3530082,true
RIPLEY,Bolsa de Santiago,2021-Q2,Dividendos,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2959420,true
SONDA,Bolsa de Santiago,2021-Q1,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,4539736,true
BONO BANCO CHILE 2028,Bolsa de Santiago,2023-Q2,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2052546,true
BCP-2029,Bolsa de Santiago,2021-Q1,Intereses,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.05,0.05,7468310,true
BONO ESVAL 2027,Bolsa de Santiago,2021-Q2,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,1001901,true
BONO COPEC 2029,Bolsa de Santiago,2024-Q4,Intereses,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,2842591,true
CMPC,Bolsa de Santiago,2024-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3981570,true
LARRAIN VIAL ESTRATEGIA,Bolsa Electrónica,2022-Q3,Mixto,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,3828543,true
PRINCIPAL ACCIONES,Bolsa Electrónica,2023-Q2,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6040913,false
BCU-2030,Bolsa de Santiago,2024-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,6654635,true
CMPC,Bolsa de Santiago,2023-Q3,Dividendos,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,2761608,true
BCP-2029,Bolsa de Santiago,2021-Q3,Intereses,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.001,3481049,true
BANCO BCI,Bolsa de Santiago,2022-Q2,Dividendos,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,4921731,true
CENCOSUD,Bolsa de Santiago,2022-Q3,Dividendos,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.06,0.06,0.06,0.06,4326160,true
